?? ?????,1,2,3,4,5,6, ???? ???,?? ????? + ?? ???,?? ?????
3423,16,20,21,23,34,36,7,0,0
3422,4,24,28,30,32,34,1,0,0
3421,1,5,10,13,30,33,1,0,0
3420,6,13,15,20,29,31,5,0,0
3419,6,8,10,12,25,34,4,0,0
3418,12,15,17,20,21,23,1,0,0
3417,5,11,13,18,32,37,1,0,0
3416,15,20,23,26,28,37,3,0,0
3415,3,15,19,26,27,31,6,0,1
3414,3,4,19,27,32,33,5,1,0
3413,8,17,22,24,28,33,1,0,0
3412,8,15,16,23,27,33,2,0,0
3411,13,18,20,23,26,36,1,0,0
3410,4,9,20,23,32,37,2,1,0
3409,7,9,17,20,22,26,4,0,0
3408,2,9,13,31,34,37,2,0,0
3407,6,9,19,21,28,36,7,0,0
3406,7,8,21,24,26,30,5,0,0
3405,1,4,15,26,33,37,5,0,0
3404,2,6,10,12,24,31,1,0,1
3403,1,2,17,19,36,37,4,0,0
3402,14,17,27,29,33,35,3,0,0
3401,7,16,17,22,26,29,5,0,0
3400,7,12,24,28,32,34,5,0,0
3399,5,10,14,20,23,28,4,0,0
3398,8,16,17,20,29,30,5,0,0
3397,7,11,22,28,31,32,3,0,0
3396,7,20,24,26,33,36,4,0,0
3395,4,10,11,14,15,33,3,0,0
3394,10,12,13,17,30,31,7,0,0
3393,3,5,8,9,19,36,2,0,0
3392,11,14,16,30,32,35,2,1,0
3391,4,6,12,20,31,36,6,0,0
3390,8,26,28,29,33,35,6,0,0
3389,4,8,24,25,30,31,7,1,0
3388,15,19,21,30,32,35,5,0,0
3387,1,3,9,23,25,27,1,1,0
3386,2,6,12,13,26,37,3,0,0
3385,1,2,11,16,28,37,4,0,0
3384,6,11,15,20,36,37,4,0,0
3383,4,5,8,17,26,36,7,0,0
3382,15,18,21,28,31,33,2,0,0
3381,6,21,25,26,30,35,5,0,0
3380,4,11,25,26,28,37,7,0,0
3379,2,12,13,23,25,30,7,0,0
3378,3,9,10,17,24,32,3,0,0
3377,13,17,18,23,25,27,3,1,0
3376,2,4,10,11,18,35,6,0,0
